"","regiao_saude","nivel_atencao","tempo_total","tempo_total_mensal","fte_40_anual","fte_40_mensal"
"1","Central","primario",454145.337688864,37845.4448074053,174.671283726486,14.5559403105405
"2","Central","secundario",110756.811884119,9229.73432367662,42.5987738015844,3.5498978167987
"3","Centro Sul","primario",279628.109502016,23302.3424585013,107.549272885391,8.96243940711589
"4","Centro Sul","secundario",64031.0017971118,5335.91681642598,24.6273083835045,2.05227569862538
"5","Entorno Norte","primario",88987.38441358,7415.61536779833,34.2259170821461,2.85215975684551
"6","Entorno Norte","secundario",19990.7522972617,1665.89602477181,7.68875088356221,0.640729240296851
"7","Entorno Sul","primario",294343.934544472,24528.6612120394,113.209205594028,9.43410046616898
"8","Entorno Sul","secundario",62016.3672316838,5168.03060264032,23.852448935263,1.98770407793858
"9","Estrada de Ferro","primario",87336.484513922,7278.04037616017,33.5909555822777,2.79924629852314
"10","Estrada de Ferro","secundario",21358.1892665962,1779.84910554969,8.21468817946009,0.684557348288341
"11","Nordeste I","primario",15160.5952341751,1263.38293618126,5.83099816699043,0.485916513915869
"12","Nordeste I","secundario",3502.99199121526,291.915999267939,1.34730461200587,0.112275384333822
"13","Nordeste II","primario",35085.8299017928,2923.81915848273,13.494549962228,1.12454583018567
"14","Nordeste II","secundario",8073.42667370541,672.785556142118,3.10516410527131,0.258763675439276
"15","Norte","primario",44867.2953636164,3738.94128030137,17.2566520629294,1.43805433857745
"16","Norte","secundario",11322.5578219833,943.546485165275,4.35482993153204,0.362902494294337
"17","Oeste I","primario",37523.433279395,3126.95277328291,14.4320897228442,1.20267414357035
"18","Oeste I","secundario",9987.11003868611,832.259169890509,3.84119616872543,0.320099680727119
"19","Oeste II","primario",37353.03877788,3112.75323149,14.3665533761077,1.19721278134231
"20","Oeste II","secundario",9639.1309417729,803.260911814408,3.70735805452804,0.308946504544003
"21","Pirineus","primario",149086.747507081,12423.89562559,57.3410567334925,4.77842139445771
"22","Pirineus","secundario",35856.7791808726,2988.06493173939,13.7910689157202,1.14925574297669
"23","Rio Vermelho","primario",66517.2426222356,5543.10355185297,25.583554854706,2.13196290455883
"24","Rio Vermelho","secundario",16718.1677825496,1393.1806485458,6.43006453174983,0.535838710979153
"25","São Patrício I","primario",53670.682013879,4472.55683448992,20.6425700053381,1.72021416711151
"26","São Patrício I","secundario",13693.4100411642,1141.11750343035,5.26669616967855,0.438891347473213
"27","São Patrício II","primario",57333.2621336816,4777.77184447347,22.0512546668006,1.83760455556672
"28","São Patrício II","secundario",13551.7070203213,1129.30891836011,5.2121950078159,0.434349583984659
"29","Serra da Mesa","primario",40779.8352877801,3398.31960731501,15.6845520337616,1.30704600281347
"30","Serra da Mesa","secundario",9966.25714182274,830.521428485228,3.83317582377798,0.319431318648165
"31","Sudoeste I","primario",122421.87630731,10201.8230256091,47.085337041273,3.92377808677275
"32","Sudoeste I","secundario",28525.7231674096,2377.14359728414,10.9714319874652,0.914285998955437
"33","Sudoeste II","primario",64100.9137304448,5341.7428108704,24.6541975886326,2.05451646571938
"34","Sudoeste II","secundario",15338.9032773293,1278.24193977744,5.89957818358818,0.491631515299015
"35","Sul","primario",70245.5833704635,5853.79861420529,27.0175320655629,2.25146100546357
"36","Sul","secundario",17593.8561089392,1466.15467574494,6.76686773420739,0.563905644517283
