"","macrorregiao_pad","mes_ano","model","total_nasc"
"1","MACRORREGIAO SUDOESTE",2022-01-01,"MLP",743.9589
"2","MACRORREGIAO CENTRO-OESTE",2022-01-01,"MLP",2377.81103515625
"3","MACRORREGIAO CENTRO-NORTE",2022-01-01,"MLP",1216.46350097656
"4","MACRORREGIAO CENTRO SUDESTE",2022-01-01,"MLP",1572.89611816406
"5","MACRORREGIAO SUDOESTE",2022-02-01,"MLP",753.8459
"6","MACRORREGIAO CENTRO-OESTE",2022-02-01,"MLP",2296.96215820312
"7","MACRORREGIAO CENTRO-NORTE",2022-02-01,"MLP",1223.22302246094
"8","MACRORREGIAO CENTRO SUDESTE",2022-02-01,"MLP",1564.97265625
"9","MACRORREGIAO SUDOESTE",2022-03-01,"MLP",771.8812
"10","MACRORREGIAO CENTRO-OESTE",2022-03-01,"MLP",2489.015625
"11","MACRORREGIAO CENTRO-NORTE",2022-03-01,"MLP",1345.58764648438
"12","MACRORREGIAO CENTRO SUDESTE",2022-03-01,"MLP",1705.21166992188
"13","MACRORREGIAO SUDOESTE",2022-04-01,"MLP",744.61945
"14","MACRORREGIAO CENTRO-OESTE",2022-04-01,"MLP",2388.078125
"15","MACRORREGIAO CENTRO-NORTE",2022-04-01,"MLP",1268.046875
"16","MACRORREGIAO CENTRO SUDESTE",2022-04-01,"MLP",1659.54504394531
"17","MACRORREGIAO SUDOESTE",2022-05-01,"MLP",737.91064
"18","MACRORREGIAO CENTRO-OESTE",2022-05-01,"MLP",2402.11328125
"19","MACRORREGIAO CENTRO-NORTE",2022-05-01,"MLP",1307.14099121094
"20","MACRORREGIAO CENTRO SUDESTE",2022-05-01,"MLP",1631.14111328125
"21","MACRORREGIAO SUDOESTE",2022-06-01,"MLP",721.5215
"22","MACRORREGIAO CENTRO-OESTE",2022-06-01,"MLP",2354.23071289062
"23","MACRORREGIAO CENTRO-NORTE",2022-06-01,"MLP",1189.15161132812
"24","MACRORREGIAO CENTRO SUDESTE",2022-06-01,"MLP",1530.47436523438
"25","MACRORREGIAO SUDOESTE",2022-07-01,"MLP",723.5388
"26","MACRORREGIAO CENTRO-OESTE",2022-07-01,"MLP",2321.39770507812
"27","MACRORREGIAO CENTRO-NORTE",2022-07-01,"MLP",1217.12951660156
"28","MACRORREGIAO CENTRO SUDESTE",2022-07-01,"MLP",1540.73620605469
"29","MACRORREGIAO SUDOESTE",2022-08-01,"MLP",719.7072
"30","MACRORREGIAO CENTRO-OESTE",2022-08-01,"MLP",2323.31860351562
"31","MACRORREGIAO CENTRO-NORTE",2022-08-01,"MLP",1173.8525390625
"32","MACRORREGIAO CENTRO SUDESTE",2022-08-01,"MLP",1519.82641601562
"33","MACRORREGIAO SUDOESTE",2022-09-01,"MLP",706.68384
"34","MACRORREGIAO CENTRO-OESTE",2022-09-01,"MLP",2343.755859375
"35","MACRORREGIAO CENTRO-NORTE",2022-09-01,"MLP",1193.64392089844
"36","MACRORREGIAO CENTRO SUDESTE",2022-09-01,"MLP",1522.31530761719
"37","MACRORREGIAO SUDOESTE",2022-10-01,"MLP",698.8178
"38","MACRORREGIAO CENTRO-OESTE",2022-10-01,"MLP",2344.70336914062
"39","MACRORREGIAO CENTRO-NORTE",2022-10-01,"MLP",1157.2548828125
"40","MACRORREGIAO CENTRO SUDESTE",2022-10-01,"MLP",1524.77258300781
"41","MACRORREGIAO SUDOESTE",2022-11-01,"MLP",705.1968
"42","MACRORREGIAO CENTRO-OESTE",2022-11-01,"MLP",2296.60327148438
"43","MACRORREGIAO CENTRO-NORTE",2022-11-01,"MLP",1145.22119140625
"44","MACRORREGIAO CENTRO SUDESTE",2022-11-01,"MLP",1497.92138671875
"45","MACRORREGIAO SUDOESTE",2022-12-01,"MLP",722.73956
"46","MACRORREGIAO CENTRO-OESTE",2022-12-01,"MLP",2383.54711914062
"47","MACRORREGIAO CENTRO-NORTE",2022-12-01,"MLP",1170.57470703125
"48","MACRORREGIAO CENTRO SUDESTE",2022-12-01,"MLP",1503.08093261719
"49","MACRORREGIAO SUDOESTE",2023-01-01,"MLP",730.8329
"50","MACRORREGIAO CENTRO-OESTE",2023-01-01,"MLP",2392.009765625
"51","MACRORREGIAO CENTRO-NORTE",2023-01-01,"MLP",1231.95056152344
"52","MACRORREGIAO CENTRO SUDESTE",2023-01-01,"MLP",1548.01232910156
"53","MACRORREGIAO SUDOESTE",2023-02-01,"MLP",750.7672
"54","MACRORREGIAO CENTRO-OESTE",2023-02-01,"MLP",2317.14770507812
"55","MACRORREGIAO CENTRO-NORTE",2023-02-01,"MLP",1262.03039550781
"56","MACRORREGIAO CENTRO SUDESTE",2023-02-01,"MLP",1550.12927246094
"57","MACRORREGIAO SUDOESTE",2023-03-01,"MLP",753.3837
"58","MACRORREGIAO CENTRO-OESTE",2023-03-01,"MLP",2392.99047851562
"59","MACRORREGIAO CENTRO-NORTE",2023-03-01,"MLP",1347.46618652344
"60","MACRORREGIAO CENTRO SUDESTE",2023-03-01,"MLP",1658.42199707031
"61","MACRORREGIAO SUDOESTE",2023-04-01,"MLP",729.1878
"62","MACRORREGIAO CENTRO-OESTE",2023-04-01,"MLP",2326.25122070312
"63","MACRORREGIAO CENTRO-NORTE",2023-04-01,"MLP",1268.42016601562
"64","MACRORREGIAO CENTRO SUDESTE",2023-04-01,"MLP",1611.90087890625
"65","MACRORREGIAO SUDOESTE",2023-05-01,"MLP",713.51984
"66","MACRORREGIAO CENTRO-OESTE",2023-05-01,"MLP",2324.80932617188
"67","MACRORREGIAO CENTRO-NORTE",2023-05-01,"MLP",1289.81970214844
"68","MACRORREGIAO CENTRO SUDESTE",2023-05-01,"MLP",1581.1376953125
"69","MACRORREGIAO SUDOESTE",2023-06-01,"MLP",704.9541
"70","MACRORREGIAO CENTRO-OESTE",2023-06-01,"MLP",2318.30786132812
"71","MACRORREGIAO CENTRO-NORTE",2023-06-01,"MLP",1187.2529296875
"72","MACRORREGIAO CENTRO SUDESTE",2023-06-01,"MLP",1501.21850585938
"73","MACRORREGIAO SUDOESTE",2023-07-01,"MLP",707.40094
"74","MACRORREGIAO CENTRO-OESTE",2023-07-01,"MLP",2293.81689453125
"75","MACRORREGIAO CENTRO-NORTE",2023-07-01,"MLP",1212.18603515625
"76","MACRORREGIAO CENTRO SUDESTE",2023-07-01,"MLP",1511.32202148438
"77","MACRORREGIAO SUDOESTE",2023-08-01,"MLP",706.891
"78","MACRORREGIAO CENTRO-OESTE",2023-08-01,"MLP",2297.11962890625
"79","MACRORREGIAO CENTRO-NORTE",2023-08-01,"MLP",1163.66174316406
"80","MACRORREGIAO CENTRO SUDESTE",2023-08-01,"MLP",1496.07580566406
"81","MACRORREGIAO SUDOESTE",2023-09-01,"MLP",692.22675
"82","MACRORREGIAO CENTRO-OESTE",2023-09-01,"MLP",2309.11010742188
"83","MACRORREGIAO CENTRO-NORTE",2023-09-01,"MLP",1189.13977050781
"84","MACRORREGIAO CENTRO SUDESTE",2023-09-01,"MLP",1493.31750488281
"85","MACRORREGIAO SUDOESTE",2023-10-01,"MLP",680.23083
"86","MACRORREGIAO CENTRO-OESTE",2023-10-01,"MLP",2316.67358398438
"87","MACRORREGIAO CENTRO-NORTE",2023-10-01,"MLP",1139.93017578125
"88","MACRORREGIAO CENTRO SUDESTE",2023-10-01,"MLP",1502.93371582031
"89","MACRORREGIAO SUDOESTE",2023-11-01,"MLP",695.01294
"90","MACRORREGIAO CENTRO-OESTE",2023-11-01,"MLP",2328.91918945312
"91","MACRORREGIAO CENTRO-NORTE",2023-11-01,"MLP",1139.94921875
"92","MACRORREGIAO CENTRO SUDESTE",2023-11-01,"MLP",1478.61950683594
"93","MACRORREGIAO SUDOESTE",2023-12-01,"MLP",716.3265
"94","MACRORREGIAO CENTRO-OESTE",2023-12-01,"MLP",2397.00708007812
"95","MACRORREGIAO CENTRO-NORTE",2023-12-01,"MLP",1172.47375488281
"96","MACRORREGIAO CENTRO SUDESTE",2023-12-01,"MLP",1490.39172363281
"97","MACRORREGIAO NORDESTE",2022-01-01,"ARIMA",1536.00456606871
"98","MACRORREGIAO NORDESTE",2022-02-01,"ARIMA",1510.24933257775
"99","MACRORREGIAO NORDESTE",2022-03-01,"ARIMA",1633.8948628891
"100","MACRORREGIAO NORDESTE",2022-04-01,"ARIMA",1630.87834794284
"101","MACRORREGIAO NORDESTE",2022-05-01,"ARIMA",1595.87199891032
"102","MACRORREGIAO NORDESTE",2022-06-01,"ARIMA",1658.07296678955
"103","MACRORREGIAO NORDESTE",2022-07-01,"ARIMA",1608.81367262981
"104","MACRORREGIAO NORDESTE",2022-08-01,"ARIMA",1708.73465629058
"105","MACRORREGIAO NORDESTE",2022-09-01,"ARIMA",1671.76375979995
"106","MACRORREGIAO NORDESTE",2022-10-01,"ARIMA",1737.93589481612
"107","MACRORREGIAO NORDESTE",2022-11-01,"ARIMA",1556.48489923874
"108","MACRORREGIAO NORDESTE",2022-12-01,"ARIMA",1635.44691248262
"109","MACRORREGIAO NORDESTE",2023-01-01,"ARIMA",1515.60446480211
"110","MACRORREGIAO NORDESTE",2023-02-01,"ARIMA",1497.76153989139
"111","MACRORREGIAO NORDESTE",2023-03-01,"ARIMA",1611.20892776552
"112","MACRORREGIAO NORDESTE",2023-04-01,"ARIMA",1619.0187197595
"113","MACRORREGIAO NORDESTE",2023-05-01,"ARIMA",1584.45027034142
"114","MACRORREGIAO NORDESTE",2023-06-01,"ARIMA",1647.07296902531
"115","MACRORREGIAO NORDESTE",2023-07-01,"ARIMA",1598.21983387034
"116","MACRORREGIAO NORDESTE",2023-08-01,"ARIMA",1698.53197970217
"117","MACRORREGIAO NORDESTE",2023-09-01,"ARIMA",1661.9378022853
"118","MACRORREGIAO NORDESTE",2023-10-01,"ARIMA",1728.4727465684
"119","MACRORREGIAO NORDESTE",2023-11-01,"ARIMA",1547.37116405061
"120","MACRORREGIAO NORDESTE",2023-12-01,"ARIMA",1626.66968878232
